Inactive,Street
Yes,0.007 W/O CHERRY
Yes,0.010 S/O SSR 180 (CUL-DE-SAC)
Yes,0.010 W/O HUGHES
Yes,0.016 S/O CALIFORNIA
Yes,0.019 N/O IOWA
Yes,0.020 E/O BUSH (C.L.)
Yes,0.020 N/O FOUNTAIN WAY (C.L.)
Yes,0.020 N/O PALO ALTO (C.L.)
Yes,0.020 N/O PRINCETON (C.L.)
Yes,0.020 S/O BARSTOW (C.L.)
Yes,0.020 S/O CALIMYRNA (C.L.)
Yes,0.020 W/O FERGER (C.L.)
Yes,0.020 W/O GRANTLAND
Yes,0.020 W/O VILLA (FRESNO C.L.)
Yes,0.021 N/O TURNER
Yes,0.022 S/O C-399
Yes,0.023 S/O HARVEY
Yes,0.023 W/O NEWMARK (SANGER C.L.)
Yes,0.025 S/O ASHLAN (C.L.)
Yes,0.025 S/O CALIFORNIA
Yes,0.028 E/O ELM
Yes,0.028 S/O SHAW
Yes,0.028 S/O TOWNSEND
Yes,0.029 N/O WELDON (C.L.)
Yes,0.029 S/O SHIELDS (C.L.)
Yes,0.03 N/O KADOTA
Yes,0.030 E/O DOCKERY (SELMA C.L.)
Yes,0.030 E/O ELEVENTH (C.L.)
Yes,0.030 E/O RIO VISTA (CUL-DE-SAC)
Yes,0.030 E/O SAFFORD (C.L.)
Yes,0.030 E/O SUNNYSIDE (CLOVIS C.L.)
Yes,0.030 N/O C-400
Yes,0.030 N/O PALO ALTO (C.L.)
Yes,0.030 N/O ROBERTS (C.L.)
Yes,0.030 N/O TURNER
Yes,0.030 S/O ADAMS (OR. COVE C.L.)
Yes,0.030 S/O HARVEY
Yes,0.030 S/O PARLIER
Yes,0.030 S/O PAUL (C.L.)
Yes,0.030 S/O PONTIAC (C.L.)
Yes,0.030 S/O SWIFT (C.L.)
Yes,0.030 S/O TWAIN (C.L.)
Yes,0.030 S/O WASHINGTON
Yes,0.030 SE/O OF HEARTWOOD
Yes,0.030 W/O CHANNING (C.L.)
Yes,0.030 W/O DEE ANN (C.L.)
Yes,0.030 W/O DEL MAR (C.L.)
Yes,0.030 W/O EDDY (CLOVIS C.L.)
Yes,0.030 W/O FERGER (C.L.)
Yes,0.030 W/O NORRIS DR. (C.L.)
Yes,0.030 W/O SUNNYSIDE (C.L.)
Yes,0.030 W/O VAGEDES (C.L.)
Yes,0.030 W/O WILSON (C.L.)
Yes,0.031 N/O ESCALON (C.L.)
Yes,0.033 S/O LANSING
Yes,0.037 N/O TURNER
Yes,0.038 W/O VAN NESS (C.L.)
Yes,0.04 E/O PHILLIP
Yes,0.04 E/O SUNNYSIDE (CLOVIS C.L.)
Yes,0.04 E/O ZEDIKER ALIGN(CUL-DE-SAC)
Yes,0.040 E/O ELM
Yes,0.040 E/O SAFFORD (C.L.)
Yes,0.040 E/O SSR 41
Yes,0.040 N/O SHAW
Yes,0.040 NW/O BONANZA
Yes,0.040 S/O BLAINE (C.L.)
Yes,0.040 S/O BLAINE(C.L.)
Yes,0.040 S/O GETTYSBURG (C.L.)
Yes,0.040 S/O KEATS (C.L.)
Yes,0.040 S/O PARKWAY DRIVE
Yes,0.040 S/O VARTIKIAN (C.L.)
Yes,0.040 W/O BLYTHE
Yes,0.040 W/O BRIARWOOD (C.L.)
Yes,0.040 W/O ROWELL (C.L.)
Yes,0.042 E/O MINNEWAWA (FRESNO C.L.)
Yes,0.047 E/O ELM
Yes,0.047 S/O NORTH
Yes,0.048 S/O C-401
Yes,0.050  W/O GOLDEN STATE (KINGS. C.L
Yes,0.050 E/O CEDAR (C.L.)
Yes,0.050 E/O HARRISON (C.L.)
Yes,0.050 E/O PULLMAN (C.L.)
Yes,0.050 E/O WALLING (C.L.)
Yes,0.050 N/O SSR 180 (CUL-DE-SAC)
Yes,0.050 S/O COLUMBIA DR (C.L.)
Yes,0.050 S/O WASHINGTON (C.L.)
Yes,0.050 W/O BUTTE
Yes,0.051 E/O BRAWLEY
Yes,0.051 W/O CHERRY
Yes,0.052 S/O WAWONA
Yes,0.054 E/O LEWIS LN (SANGER C.L.)
Yes,0.056 N/O SSR 180
Yes,0.057 N/O DINUBA
Yes,0.057 N/O MENLO
Yes,0.057 N/O PARLIER
Yes,0.057 N/O TURNER
Yes,0.058 N/O TURNER
Yes,0.059 N/O CONEJO
Yes,0.059 S/O LOST LAKE
Yes,0.06 W/O POLK
Yes,0.060 E/O GLENN (C.L.)
Yes,0.060 E/O MINNEWAWA
Yes,0.060 N/O ASHLAN
Yes,0.060 N/O MONTECITO (C.L.)
Yes,0.060 N/O SHIELDS (C.L.)
Yes,0.060 N/O SIERRA
Yes,0.060 N/O TULARE
Yes,0.060 N/O TYLER (C.L.)
Yes,0.060 N/O TYLER (FRESNO C.L.)
Yes,0.060 S/O MC KENZIE (C.L.)
Yes,0.060 S/O MONTECITO (C.L.)
Yes,0.060 S/O MORTON
Yes,0.060 S/O NEBRASKA
Yes,0.060 S/O SWIFT (C.L.)
Yes,0.060 SE/O JAMES RD
Yes,0.060 W/O VALENTINE
Yes,0.061 N/O CELESTE
Yes,0.061 W/O BRAWLEY
Yes,0.062 E/O ELM
Yes,0.062 W/O SONORA (C.L.)
Yes,0.063 N/O KAMM
Yes,0.063 W/O CHERRY
Yes,0.064  E/O WARD
Yes,0.064 W/O WESTERN
Yes,0.066 E/O PULLMAN
Yes,0.067 S/O MESA (C.L.)
Yes,0.068 S/O SHIELDS
Yes,0.068 W/O BETHEL
Yes,0.069 E/O ELM
Yes,0.069 W/O GRANTLAND
Yes,0.070 E/O HULBERT (C.L.)
Yes,0.070 N/O PALO ALTO (C.L.)
Yes,0.070 N/O PARK CIRCLE (C.L.)
Yes,0.070 S/O HARVARD (C.L.)
Yes,0.070 S/O KEATS (C.L.)
Yes,0.070 S/O LINCOLN
Yes,0.070 S/O PAUL (C.L.)
Yes,0.070 W/O CHERRY
Yes,0.070 W/O PULLMAN (C.L.)
Yes,0.071 E/O ACADEMY (C.L.)
Yes,0.072 W/O WYATT
Yes,0.075 E/O ELM
Yes,0.075 S/O BIRCH (C.L.)
Yes,0.078 W/O CHERRY
Yes,0.08 E/O WALLING (C.L.)
Yes,0.080 E/O GLENN (C.L.)
